rooms_num_square,type_offer,price,views,likes,address,apartment_complex,floors,furniture,series,building_type_year,added_ago,condition,ceil_height,gas,docs,heating,parking,is_change,is_ipoteka,is_installment,door,balcony,floor,different,telephone,internet,security,sanuzel,user_name,description,analytic,longitude,latitude,link
"1-комн. кв., 40 м2",от агента,5 653 460 сом,893,3,"Бишкек, Золотой квадрат",,2 этаж из 4,полностью меблирована,индивид. планировка,кирпичный,Добавлено 3 месяца назад,хорошее,,,технический паспорт,центральное,,,,,бронированная,балкон,,"пластиковые окна,                                             новая сантехника,                                             кондиционер,                                             неугловая,                                             тихий двор",есть,проводной,видеонаблюдение,совмещенный,Flatberry Агентств...,"Продаю 1ком.кВ.40м2, 2/4, 67,000$. В Золотом квадрате! Свежий ремонт, 40м2, 2/4, стены жженый кирпич, закрытая территория, видеонаблюдение. 
Документы: тех.паспорт. 
Все коммуникации центральные . 
Все мебели остаются, стиральная машина, холодильник , кондиционер… 
Не угловая! Рядом все есть , поликлиника, стоматология, садики, шкала , магазины!! 
Цена : 67,000$ МИНИ торг!! 
Позвоните по номеру : (0550)(913)(627)- Луиза 
#продаю1комкв #1комкв #золотойкв",,74.6082,42.8679,https://www.house.kg/details/5095448666a99d80eb626-78603719
"1-комн. кв., 58 м2",от агента,5 628 146 сом,226,1,"Бишкек, Магистраль, Сухе Батора/Южная Магистраль",Capstroy City,5 этаж из 14,,элитка,"монолитный, 2024 г.",Добавлено 27 дней назад,под самоотделку (псо),3.1 м.,,,на газе,,,,,,,,,,,,,БорБор Недвижимост...,"ПРОДАЁТСЯ 1-на комнатная квартира ПСО 🏢‼️‼️

📍Адрес: Асанбай
🏢Этажность: 5 из 12
🔰Площадь:  58,74 м2
🔰Серия: Элитка
🔰ЖК: Capstroy City
🔰Состояние: ПСО (4 квартал 2024 год) 
🔰Коммуникации: центральные, отопление газовое 
🔰Документы: ДДУ
🔰Доп инфо:  Дом бизнес класса, просторный придомовой участок, шикарная панорама на горы.
🔰Цена: 1150 $ торг
Тел: 0701/69/80/29   Бексаадат
⚜️Борбор Недвижимость⚜️
ID 19137","Эта квартира на 9.34% дороже похожих
Цена за м2 этой квартиры на 9.01% дешевле похожих",74.6161,42.8223,https://www.house.kg/details/616038666c9aee9d6f934-54299195
"3-комн. кв., 122 м2",от агента,11 117 909 сом,203,,"Бишкек, Магистраль, Сухе Батора/Южная Магистраль",Capstroy City,4 этаж из 14,,элитка,"монолитный, 2024 г.",Добавлено 27 дней назад,под самоотделку (псо),3.1 м.,,,на газе,,,,,,,,,,,,,БорБор Недвижимост...,"ПРОДАЁТСЯ 3-х комнатная квартира ПСО 🏢‼️‼️

📍Адрес: Асанбай
🏢Этажность: 4 из 14
🔰Площадь: 122 м2
🔰Серия: Элитка
🔰ЖК: Capstroy City
🔰Состояние: ПСО (4 квартал 2024 год) 
🔰Коммуникации: центральные, отопление газовое 
🔰Документы: ДДУ
🔰Доп инфо:  Дом бизнес класса, просторный придомовой участок, шикарная панорама на горы.
🔰Цена: 1080 $ торг
Тел: 0701/69/80/29   Бексаадат
⚜️Борбор Недвижимость⚜️
ID 19139","Эта квартира на 1.87% дешевле похожих
Цена за м2 этой квартиры на 13.6% дешевле похожих",74.6161,42.8223,https://www.house.kg/details/326834366c9ad7b43bbe6-95413225
"3-комн. кв., 101 м2",от агента,18 563 600 сом,553,,"Бишкек, Золотой квадрат",,8 этаж из 12,,элитка,кирпичный,Добавлено 3 месяца назад,евроремонт,,,"договор купли-продажи,                                             технический паспорт",центральное,,,,,,,,"улучшенная,                                             кондиционер,                                             неугловая,                                             тихий двор",,,"охрана,                                             видеонаблюдение",,Flatberry Агентств...,"Продается 3- Комн кВ 
Элитка
101 м , центр 
Московская/Орозбекова 
8/12 , все коммуникации центр , Золотой квадрат , охрана , видеонаблюдение , техника , мебель остаётся 
Все документы в порядке 
Луиза 055-91-33-27
Цена: 220.000$ торг уместен","Эта квартира на 4.35% дешевле похожих
Цена за м2 этой квартиры на 12.81% дороже похожих",74.6026,42.8701,https://www.house.kg/details/57917796666c571397594-16091434
"3-комн. кв., 73 м2",от агента,5 990 980 сом,538,,"Бишкек, Кудайберген, п лумумбы 72",,3 этаж из 3,полностью меблирована,индивид. планировка,панельный,Добавлено 2 месяца назад,евроремонт,,,,автономное,,,,,,,,,,,,,"ООО ""ЭТАЖИ"" Урманб...","■ Адрес: ул. Р-н Кудайберген, Ул Садыгалиева/Волковой

■ Характеристики:
- Тип недвижимости: Индивидуалка
- Количество комнат: 3
- Общая площадь: 73
- Этаж: 3/3
- Состояние: Евроремонт 
- Окна: Пластиковые
- Окна направленность: Во двор
- Санузел: Раздельный 
- Балкон Лоджия: Лоджия застеклена 
- Отопление: Автономное
- Мебель техника: Остаётся 

■ Документы: Договор купли продажи, Техпаспорт

■ Цена: 71000

■ Дополнительная информация: Продается просторная 3-комнатная квартира (73 кв. м.) с евроремонтом в Кудайбергене (военный городок)!
 Вся мебель остается.
 Большая придомовая территория.
 Бронированные двери, бытовая техника, кондиционер.
 Не сдавалась, не угловая, сквозная планировка.
 Идеально для семьи с детьми.

■ Контактная информация:
Телефон для связи: +996553058118",,74.5188,42.8807,https://www.house.kg/details/4406067668e504f3c5a52-83379492
"4-комн. кв., 105 м2",от агента,17 804 180 сом,595,1,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",,7 этаж из 8,частично меблирована,элитка,монолитный,Добавлено 2 месяца назад,евроремонт,3 м.,магистральный,технический паспорт,на газе,паркинг,,,,бронированная,застекленный балкон,,,,,"охрана,                                             видеодомофон,                                             видеонаблюдение,                                             консьерж",раздельный,Estate House,"✅Продаю 3х комнатную квартиру В престижном районе Асанбай
✅ЖК Итальянский квартал
Ot Elite House
С качественным ремонтом
✅Площадь квартиры 105м2
‼️Этаж 7 из 8
Тех паспорт есть
Отопление автономное
‼️🚙Есть паркинг   Внутри стоимости (15,000$)
‼️Доп инфо: двор закрытый охраняемая. Развитая инфраструктура.
‼️В квартире сделан свежий ремонт. Кух.гарнитура и мебель остается 
🔥Цена:211,000$","Эта квартира на 7.94% дороже похожих
Цена за м2 этой квартиры на 58.89% дороже похожих",74.6164,42.8181,https://www.house.kg/details/8831977669d0b2f9f1cc0-87034517
"2-комн. кв., 56 м2",от агента,5 653 460 сом,548,2,"Бишкек, Магистраль 15/Южная Магистраль",,8 этаж из 12,,элитка,монолитный,Добавлено 2 месяца назад,под самоотделку (псо),3 м.,,договор долевого участия,на газе,,,,,,,,,,,,,"ООО ""ЭТАЖИ"" Урманб...","■ Адрес:Р-н Асанбай, Ул. Куттубаева 15

■ Характеристики:
- Застройщик: Sf building/ Elite house 
- Жк:《Atr City》
- Тип недвижимости: Элитка
- Количество комнат: 2
- Общая площадь: 56
- Этаж: 8/12
- Состояние: Псо (white box) Чистовая отделка 
- Окна направленность: На горы, на улицу
- Санузел: Совмещенный 
- Балкон Лоджия: Лоджия 
- Отопление: Газовое 

■ Документы: Дду

■ Цена: 67000

■ Дополнительная информация: Продаётся двухкомнатная квартира от строительной компании ""Elite House"" с отличной локацией на улице Куттубаева, напротив кафе ""Барашек"". Дом комфорт класса с экологически чистым районом, удалённым от городского шума. Планировка дома и двора тщательно продуманы, автомобили не заезжают во двор. Квартира продается под чистовую отделку (white box) с белыми стенами. В доме предусмотрены бронированные входные двери, охраняемая территория, видеонаблюдение, детская площадка. Срок сдачи дома примерно в сентябре 2024 года.

■ Контактная информация:
Телефон для связи: +996553058118","Эта квартира на 25.31% дешевле похожих
Цена за м2 этой квартиры на 7.96% дешевле похожих",74.6228,42.8161,https://www.house.kg/details/4509949668fda4f760844-42964431
"1-комн. кв., 49 м2",от агента,4 640 900 сом,206,,"Бишкек, Джальская больница, Ахунбаева/Тыналиева","Жилой комплекс ""IHLAS-Джал+""",11 этаж из 14,,элитка,монолитный,Добавлено 28 дней назад,под самоотделку (псо),,,,на газе,,,,,,,,,,,,,БорБор Недвижимост...,"ПРОДАЁТСЯ 1-х комнатная квартира ПСО 🏢‼️‼️

📍Адрес: Джал
🏢Этажность: 11 из 14
🔰Площадь:  49 м2
🔰Серия: Элитка
🔰ЖК: Ихлас Джал
🔰Состояние: ПСО (сданный блок), скоро лифты запустят 
🔰Коммуникации: центральные, отопление газовое 
🔰Документы: ДДУ
🔰Доп инфо:  Рядом с комплексом расположены, школы, садики, спортивные комплексы, ВУЗы, супермаркеты, больницы и многое другое. 
🔰Цена: 55 000 $ торг
Тел: 0701/69/80/29   Бексаадат
⚜️Борбор Недвижимость⚜️
ID 001","Эта квартира совпадает со средней ценой
Цена за м2 этой квартиры на 7.6% дешевле похожих",74.5709,42.8451,https://www.house.kg/details/347914066c885d1421725-12845665
"3-комн. кв., 129 м2",от агента,14 766 500 сом,251,,"Бишкек, Ынтымак ж/м, Азия/Чон Арыкская",,4 этаж из 4,,элитка,"кирпичный, 2024 г.",Добавлено 24 дня назад,под самоотделку (псо),3.2 м.,,,на газе,,,,,,,,,,,,,Айнура Убышева,"Продается шикарная 3х комнатная квартира студия ПСО.
129 кв м.
4 этаж из 4.
Классный район ж/м Ынтымак (Киргизия 1) по улице Азия.
Клубный дом Навакет.
Застройщик Ариус.
Есть наземный паркинг, продается отдельно.
В доме всего 2 подъезда, 24 квартиры, 4 этажа.
На площадке по 3 квартиры. 
Лифты премиум класса.
Детская площадка. Фитнес зал. Йога зал.
Гостевой паркинг. Клубная гостиная.
Лаунж зона. Барбекю зона.
Площадь участка 2400 м2. Круглосуточный пост охраны.
Бесшумный лифт на все этажи, включая цокольный этаж.
Системы контроля: счетчики электро-водоснабжения, датчики пожарной сигнализация, IP-домофония, датчики протечек, умные цифровые дверные замки.
Система фильтров доочистки водопроводной воды на вводе в дом.
Автономные газовые котлы в каждой квартире для отопления и горячего водоснабжения.
Аварийное электроснабжение (собственный э\генератор).","Эта квартира на 1.42% дороже похожих
Цена за м2 этой квартиры на 0.27% дороже похожих",74.5727,42.8163,https://www.house.kg/details/308163966cdbdfa8ebb18-59671478
"2-комн. кв., 50 м2",от агента,5 484 700 сом,191,2,"Бишкек, Кок-Жар ж/м, Молдокулова 5/1/Куйручук",Шабдан баатыр,5 этаж из 12,полностью меблирована,элитка,"монолитный, 2018 г.",Добавлено 8 дней назад,евроремонт,3 м.,магистральный,"договор купли-продажи,                                             технический паспорт,                                             акт ввода в эксплуатацию,                                             красная книга,                                             свидетельство о праве на наследство",электрическое,рядом охраняемая стоянка,,,,металлическая,застекленный балкон,ламинат,"пластиковые окна,                                             улучшенная,                                             новая сантехника,                                             кондиционер,                                             неугловая,                                             комнаты изолированы,                                             встроенная кухня,                                             кладовка,                                             тихий двор",возможно подключение,проводной,"решетки на окнах,                                             домофон,                                             сигнализация,                                             видеодомофон,                                             охрана,                                             кодовый замок,                                             видеонаблюдение,                                             консьерж",совмещенный,Bozui,"‼️Срочно продается 2-комнатная студия ‼️

📍Расположение: Мкр Кок-Жар 
🔺Ск компания: KG Групп 

▫️Площадь квартиры: 50м2
▫️Этаж 5 из 12

🔺Все коммуникации центральные 
Отопление электрическое ⚡️ 



🔺. Документы: Красная книга 📕 
  Тех паспорт довогор-купли-продаж 

▫️Развитая инфраструктура,экологически чистый район,всё в шаговой доступности: школы,университеты,глобус,минимаркеты,салоны красоты,рестораны,кафе,кофейни,аптеки,автомойка и т.д.

▫️ Закрытая территория, охрана 24/7, наземный и подземный паркинг, детская площадка и т.д


Цена: 65.000$ 
 
☎️+996-500-98-98-09
 
☎️+996-224-54-84-78","Эта квартира на 16.67% дешевле похожих
Цена за м2 этой квартиры на 8.09% дороже похожих",74.6424,42.8454,https://www.house.kg/details/217050866e2ab7fd0b0d5-55724675
"2-комн. кв., 96 м2",от агента,16 032 200 сом,2723,10,"Бишкек, Золотой квадрат",,10 этаж из 12,,элитка,кирпичный,Добавлено 10 месяцев назад,евроремонт,,,,,,,,,,,,,,,,,Абылай Асанов,"Продается 2 комнатная полноценная квартира в золотом квадрате на пересечении улиц Боконбаева/Тыныстанова.
Строительная компания «Рубик Групп»

Дом находится в ближайшей доступности со всеми финансовыми, медицинскими и развлекательными учреждениями. На 1 этаже коммерция находятся кофейни 12th Avenue, Bellagio Coffee, Giraffe, Бублик. Также бульвар Эркиндик для утренней пробежки. 

По квартире был проведен качественный ремонт под дизайнерский проект. Вся мебель и техника были сделаны под заказ.

Стены дома в 1,5 кирпича также имеется дополнительное базальтовое утепление, фасад из травертина.


• комнаты: 2
• площадь: 96м2
• этаж: 10/12
• коммуникации: водоснабжение, отопление, канализация центральные
• документы: ДДУ (техпаспорт на стадии выдачи)

Цена: 190,000$ (торг реальным клиентам)","Эта квартира на 51.3% дороже похожих
Цена за м2 этой квартиры на 9.94% дороже похожих",74.6087,42.8672,https://www.house.kg/details/458343965688768e0c260-81671915
"2-комн. кв., 69 м2",от агента,5 589 331 сом,832,1,"Бишкек Октябрьский район, 6-микр. по ул. Каралаева","Жилой дом ""Me'Raj""",7 этаж из 14,пустая,элитка,монолитный,Добавлено 5 месяцев назад,под самоотделку (псо),,,"договор долевого участия,                                             красная книга",на газе,паркинг,обмен не предлагать,,,бронированная,лоджия,,,,,видеонаблюдение,раздельный,Estate House,"Продаю 2-ком Элитку в 6 микрорайоне по. Набережной; ПСО 1 квартал 2024
 69,91м2;  Этаж: 7 из 14  ЖК «Meeraj».
.
Продаю 2-комнатную Элитную квартиру в 6 микрорайоне по Набережной, 2ая Линия ; 
Этаж: 7  из 14 ;
Дом Комфорт + Класса;
Застройщик: Строительная Компания «TOP Констракшн»
Жилой Комплекс: «Meeraj»
Дом Кирпичный;
Состояние Квартиры ПСО 1 квартал 2024г;
Коммуникации в Доме все Центральные, отопление Газовое;
Утепление дома из базальтового волокна;
Фасад дома снаружи из дорогих материалов премиум сигмента;
Общая Площадь квартиры: 69,91м2 
окна смотрят на запад .
Цена: 960$ за м2 кв.","Эта квартира на 22.07% дешевле похожих
Цена за м2 этой квартиры на 23.2% дешевле похожих",74.6324,42.8249,https://www.house.kg/details/887806366287a7676c429-48575567
"1-комн. кв., 50 м2",от собственника,3 965 860 сом,1009,12,"Бишкек, Мадина,  ул. 7 апреля",ЖК Baht,11 этаж из 16,пустая,элитка,"монолитный, 2022 г.",Добавлено 3 месяца назад,под самоотделку (псо),3 м.,магистральный,договор долевого участия,центральное,паркинг,рассмотрю варианты,,,металлическая,застекленный балкон,,,,проводной,,совмещенный,N,"Продаю квартиру
ЖК «Бахт» 
Застройщик «Сталь Монтаж Плюс»
Адрес: ул.Чинара 5, рядом с рынком Мадина.
Блок 3, 11 этаж, 50 м2. 
Под ПСО
Цена 47000$ (торг уместен) 
Тел: 0501111777 W/p","Эта квартира на 2.17% дороже похожих
Цена за м2 этой квартиры на 2.34% дешевле похожих",74.6377,42.8689,https://www.house.kg/details/56190786681a0094f6217-79835921
"2-комн. кв., 82 м2",от собственника,8 016 100 сом,925,3,"Бишкек, Магистраль,  ул. А. Малдыбаева 277 (пер. ул. А. Масалиева)",IMARAT PARK RESIDENCE,7 этаж из 17,пустая,элитка,"кирпичный, 2025 г.",Добавлено 3 месяца назад,под самоотделку (псо),,магистральный,,на газе,паркинг,рассмотрю варианты,,,металлическая,лоджия,,,возможно подключение,проводной,"домофон,                                             сигнализация,                                             видеодомофон,                                             охрана,                                             видеонаблюдение",2 с/у и более,N,"Продаю Кваритиру
Элитка ЖК «Имарат Парк Резиденс» 
от застройщика «Имарат Строй» 
район: Малдыбаева/Магисталь 
81,7 кв.м.
этаж: 7
блок: 1
квартира под ПСО, сдача 2025 год, 2 квартал
центральные коммуникации, газовое отопление.
цена: 95000$ (торг уместен) 
тел: 0501111777 w/p","Эта квартира на 5.91% дороже похожих
Цена за м2 этой квартиры на 10.81% дешевле похожих",74.5974,42.825,https://www.house.kg/details/667045666819c8c449148-81256546
